id,name,brand,model,year,trim,full_option,specs,category,image_filename
car_091,تويوتا كامري 2026,تويوتا,كامري,2026,LE هايبرد,نص فل,سعودي · 2.5 لتر هايبرد · 225 حصان · دفع أمامي · 5 ركاب · سيدان فوق الوسط,popular,toyota_camry_2026_le.jpg
car_092,تويوتا هايلكس 2026,تويوتا,هايلكس,2026,GLX دبل,نص فل,سعودي · 2.7 لتر 4 سلندر · 166 حصان · دفع رباعي · 5 ركاب · بيك أب,popular,toyota_hilux_2026_glx.jpg
car_093,تويوتا كورولا كروس 2026,تويوتا,كورولا كروس,2026,Limited هايبرد,فل كامل,سعودي · 1.8 لتر هايبرد · 140 حصان · دفع أمامي · 5 ركاب · كروس أوفر,popular,toyota_corolla_cross_2026_limited.jpg
car_094,هيونداي توسان 2026,هيونداي,توسان,2026,Premium,فل كامل,سعودي · 2.0 لتر 4 سلندر · 156 حصان · دفع أمامي · 5 ركاب · جيب متوسط,popular,hyundai_tucson_2026_premium.jpg
car_095,كيا سبورتاج 2026,كيا,سبورتاج,2026,EX,نص فل,سعودي · 2.0 لتر 4 سلندر · 156 حصان · دفع أمامي · 5 ركاب · جيب متوسط,popular,kia_sportage_2026_ex.jpg
car_096,مازدا مازدا 6 2026,مازدا,مازدا 6,2026,Signature,فل كامل,سعودي · 2.5 لتر 4 سلندر · 192 حصان · دفع أمامي · 5 ركاب · سيدان فوق الوسط,popular,mazda_mazda6_2026_signature.jpg
car_097,إم جي MG RX8 2026,إم جي,MG RX8,2026,LUX,فل كامل,سعودي · 2.0 لتر تيربو · 224 حصان · دفع رباعي · 7 ركاب · جيب كبير,popular,mg_rx8_2026_lux.jpg
car_098,تويوتا راف فور 2026,تويوتا,راف فور,2026,LE,نص فل,سعودي · 2.0 لتر 4 سلندر · 171 حصان · دفع رباعي · 5 ركاب · جيب متوسط,popular,toyota_rav4_2026_le.jpg
car_099,هيونداي سوناتا 2026,هيونداي,سوناتا,2026,2.5 Premium,فل كامل,سعودي · 2.5 لتر 4 سلندر · 180 حصان · دفع أمامي · 5 ركاب · سيدان فوق الوسط,popular,hyundai_sonata_2026_2_5_premium.jpg
car_100,كيا K5 2026,كيا,K5,2026,GT-Line,فل كامل,سعودي · 2.5 لتر 4 سلندر · 194 حصان · دفع أمامي · 5 ركاب · سيدان فوق الوسط,popular,kia_k5_2026_gt_line.jpg
car_101,نيسان نافارا 2026,نيسان,نافارا,2026,SE دبل,نص فل,سعودي · 2.5 لتر 4 سلندر · 161 حصان · دفع رباعي · 5 ركاب · بيك أب,popular,nissan_navara_2026_se.jpg
car_102,ميتسوبيشي L200 2026,ميتسوبيشي,L200,2026,GLS دبل,نص فل,سعودي · 2.4 لتر ديزل · 181 حصان · دفع رباعي · 5 ركاب · بيك أب,popular,mitsubishi_l200_2026_gls.jpg
car_103,فورد تورس 2026,فورد,تورس,2026,Titanium,فل كامل,خليجي · 2.0 لتر تيربو · 245 حصان · دفع أمامي · 5 ركاب · سيدان فوق الوسط,popular,ford_taurus_2026_titanium.jpg
car_104,شيري تيقو 8 برو 2026,شيري,تيقو 8 برو,2026,Luxury,فل كامل,سعودي · 1.6 لتر تيربو · 194 حصان · دفع أمامي · 7 ركاب · جيب متوسط,popular,chery_tiggo_8_pro_2026_luxury.jpg
car_105,إيسوزو دي ماكس 2026,إيسوزو,دي ماكس,2026,LS دبل,نص فل,سعودي · 1.9 لتر ديزل تيربو · 150 حصان · دفع رباعي · 5 ركاب · بيك أب,popular,isuzu_d_max_2026_ls.jpg
car_106,نيسان التيما 2026,نيسان,التيما,2026,SV,نص فل,سعودي · 2.5 لتر 4 سلندر · 188 حصان · دفع أمامي · 5 ركاب · سيدان فوق الوسط,popular,nissan_altima_2026_sv.jpg
car_107,هوندا سيفيك 2026,هوندا,سيفيك,2026,LX,نص فل,سعودي · 2.0 لتر 4 سلندر · 158 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,honda_civic_2026_lx.jpg
car_108,فورد تيريتوري 2026,فورد,تيريتوري,2026,Titanium,نص فل,سعودي · 1.8 لتر تيربو · 187 حصان · دفع أمامي · 5 ركاب · جيب متوسط,popular,ford_territory_2026_titanium.jpg
car_109,إم جي MG HS 2026,إم جي,MG HS,2026,Trophy,فل كامل,سعودي · 1.5 لتر تيربو · 169 حصان · دفع أمامي · 5 ركاب · جيب متوسط,popular,mg_hs_2026_trophy.jpg
car_110,شانجان CS75 بلس 2026,شانجان,CS75 بلس,2026,Luxury,فل كامل,سعودي · 1.5 لتر تيربو · 181 حصان · دفع أمامي · 5 ركاب · جيب متوسط,popular,changan_cs75_plus_2026_luxury.jpg
car_111,جيلي أوكافانجو 2026,جيلي,أوكافانجو,2026,Premium,فل كامل,سعودي · 1.5 لتر تيربو هايبرد · 190 حصان · دفع أمامي · 7 ركاب · جيب متوسط,popular,geely_okavango_2026_premium.jpg
car_112,هافال H6 2026,هافال,H6,2026,Premium,فل كامل,سعودي · 2.0 لتر تيربو · 204 حصان · دفع أمامي · 5 ركاب · جيب متوسط,popular,haval_h6_2026_premium.jpg
car_113,مازدا مازدا 3 2026,مازدا,مازدا 3,2026,Signature,نص فل,سعودي · 1.5 لتر 4 سلندر · 120 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,mazda_mazda3_2026_signature.jpg
car_114,تويوتا كورولا 2026,تويوتا,كورولا,2026,SE,فل كامل,سعودي · 2.0 لتر 4 سلندر · 169 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,toyota_corolla_2026_se.jpg
car_115,شيفروليه كابتيفا 2026,شيفروليه,كابتيفا,2026,LT,نص فل,سعودي · 1.5 لتر تيربو · 145 حصان · دفع أمامي · 7 ركاب · جيب متوسط,popular,chevrolet_captiva_2026_lt.jpg
car_116,كيا سيلتوس 2026,كيا,سيلتوس,2026,EX,نص فل,سعودي · 1.6 لتر 4 سلندر · 123 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,kia_seltos_2026_ex.jpg
car_117,جيتور X70 بلس 2026,جيتور,X70 بلس,2026,Luxury,نص فل,سعودي · 1.5 لتر تيربو · 156 حصان · دفع أمامي · 7 ركاب · جيب متوسط,popular,jetour_x70_plus_2026_luxury.jpg
car_118,هيونداي كريتا 2026,هيونداي,كريتا,2026,Comfort,نص فل,سعودي · 1.6 لتر 4 سلندر · 123 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,hyundai_creta_2026_comfort.jpg
car_119,نيسان سنترا 2026,نيسان,سنترا,2026,SV,نص فل,أمريكي · 2.0 لتر 4 سلندر · 149 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,nissan_sentra_2026_sv.jpg
car_120,جيلي كولراي 2026,جيلي,كولراي,2026,Premium,فل كامل,سعودي · 1.5 لتر تيربو · 177 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,geely_coolray_2026_premium.jpg
car_121,هيونداي النترا 2026,هيونداي,النترا,2026,Smart Plus,نص فل,سعودي · 1.6 لتر 4 سلندر · 123 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,hyundai_elantra_2026_smart_plus.jpg
car_122,هافال جوليون 2026,هافال,جوليون,2026,Premium,نص فل,سعودي · 1.5 لتر تيربو · 143 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,haval_jolion_2026_premium.jpg
car_123,جي إيه سي إمزوم GS3 2026,جي إيه سي,إمزوم GS3,2026,GL,نص فل,سعودي · 1.5 لتر تيربو · 175 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,gac_emzoom_gs3_2026_gl.jpg
car_124,تويوتا كورولا 2026,تويوتا,كورولا,2026,XLI,ستاندر,سعودي · 1.6 لتر 4 سلندر · 121 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,toyota_corolla_2026_xli.jpg
car_125,كيا سيراتو 2026,كيا,سيراتو,2026,EX,نص فل,سعودي · 1.6 لتر 4 سلندر · 123 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,kia_cerato_2026_ex.jpg
car_126,نيسان كيكس 2026,نيسان,كيكس,2026,SV,ستاندر,سعودي · 1.6 لتر 4 سلندر · 120 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,nissan_kicks_2026_sv.jpg
car_127,إم جي MG ZS 2026,إم جي,MG ZS,2026,LUX,نص فل,سعودي · 1.5 لتر 4 سلندر · 113 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,mg_zs_2026_lux.jpg
car_128,شانجان CS35 بلس 2026,شانجان,CS35 بلس,2026,Comfort,نص فل,سعودي · 1.6 لتر 4 سلندر · 125 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,changan_cs35_plus_2026_comfort.jpg
car_129,تويوتا يارس 2026,تويوتا,يارس,2026,Y Plus,نص فل,سعودي · 1.5 لتر 4 سلندر · 105 حصان · دفع أمامي · 5 ركاب · سيدان صغير,popular,toyota_yaris_2026_y_plus.jpg
car_130,تويوتا رايز 2026,تويوتا,رايز,2026,Y,ستاندر,سعودي · 1.2 لتر 3 سلندر · 87 حصان · دفع أمامي · 5 ركاب · كروس أوفر صغير,popular,toyota_raize_2026_y.jpg
car_131,إم جي MG 5 2026,إم جي,MG 5,2026,LUX,نص فل,سعودي · 1.5 لتر 4 سلندر · 113 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,mg_mg5_2026_lux.jpg
car_132,شانجان إيدو بلس 2026,شانجان,إيدو بلس,2026,Comfort,نص فل,سعودي · 1.6 لتر 4 سلندر · 125 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,changan_eado_plus_2026_comfort.jpg
car_133,شيري أريزو 6 2026,شيري,أريزو 6,2026,Comfort,نص فل,سعودي · 1.5 لتر تيربو · 147 حصان · دفع أمامي · 5 ركاب · سيدان وسط,popular,chery_arrizo_6_2026_comfort.jpg
car_134,هيونداي أكسنت 2026,هيونداي,أكسنت,2026,Smart,ستاندر,سعودي · 1.6 لتر 4 سلندر · 123 حصان · دفع أمامي · 5 ركاب · سيدان صغير,popular,hyundai_accent_2026_smart.jpg
car_135,سوزوكي بالينو 2026,سوزوكي,بالينو,2026,GLX,ستاندر,سعودي · 1.5 لتر 4 سلندر · 103 حصان · دفع أمامي · 5 ركاب · هاتشباك,popular,suzuki_baleno_2026_glx.jpg
