id,name,brand,model,year,trim,full_option,specs,category,image_filename
car_001,رولز رويس كولينان 2026,رولز رويس,كولينان,2026,Black Badge,فل كامل,سعودي · 6.75 لتر V12 تيربو · 600 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,rolls_royce_cullinan_2026_black_badge.jpg
car_002,رولز رويس جوست 2026,رولز رويس,جوست,2026,Extended,فل كامل,سعودي · 6.75 لتر V12 تيربو · 571 حصان · دفع رباعي · 5 ركاب · سيدان فخم,premium,rolls_royce_ghost_2026_extended.jpg
car_003,فيراري 296 GTB 2026,فيراري,296 GTB,2026,GTB,فل كامل,سعودي · 3.0 لتر V6 هجين · 830 حصان · دفع خلفي · 2 ركاب · سوبر كار,premium,ferrari_296_gtb_2026_gtb.jpg
car_004,لامبورجيني أوروس 2026,لامبورجيني,أوروس,2026,Performante,فل كامل,سعودي · 4.0 لتر V8 تيربو · 666 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,lamborghini_urus_2026_performante.jpg
car_005,مكلارين 750S 2026,مكلارين,750S,2026,Coupe,فل كامل,سعودي · 4.0 لتر V8 تيربو · 750 حصان · دفع خلفي · 2 ركاب · سوبر كار,premium,mclaren_750s_2026_coupe.jpg
car_006,بنتلي كونتيننتال GT 2026,بنتلي,كونتيننتال GT,2026,Speed,فل كامل,سعودي · 4.0 لتر V8 هجين · 782 حصان · دفع رباعي · 4 ركاب · رياضية فخمة,premium,bentley_continental_gt_2026_speed.jpg
car_007,بنتلي بنتايجا 2026,بنتلي,بنتايجا,2026,V8,فل كامل,سعودي · 4.0 لتر V8 تيربو · 550 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,bentley_bentayga_2026_v8.jpg
car_008,أستون مارتن DBX707 2026,أستون مارتن,DBX707,2026,707,فل كامل,سعودي · 4.0 لتر V8 تيربو · 707 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,aston_martin_dbx707_2026_707.jpg
car_009,مرسيدس G 63 AMG 2026,مرسيدس,G 63 AMG,2026,AMG,فل كامل,سعودي · 4.0 لتر V8 تيربو · 585 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,mercedes_benz_g_63_amg_2026_amg.jpg
car_010,مرسيدس مايباخ GLS 600 2026,مرسيدس,مايباخ GLS 600,2026,Maybach,فل كامل,سعودي · 4.0 لتر V8 تيربو · 557 حصان · دفع رباعي · 4 ركاب · جيب فخم,premium,mercedes_benz_maybach_gls_600_2026_maybach.jpg
car_011,لاند روفر رنج روفر فوج 2026,لاند روفر,رنج روفر فوج,2026,Autobiography,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 400 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,land_rover_range_rover_vogue_2026_autobiography.jpg
car_012,أودي RS Q8 2026,أودي,RS Q8,2026,RS,فل كامل,سعودي · 4.0 لتر V8 تيربو · 640 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,audi_rs_q8_2026_rs.jpg
car_013,مرسيدس S 500 2026,مرسيدس,S 500,2026,4MATIC,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 455 حصان · دفع رباعي · 5 ركاب · سيدان فخم,premium,mercedes_benz_s_500_2026_4matic.jpg
car_014,بي إم دبليو 740i 2026,بي إم دبليو,740i,2026,M Sport,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 381 حصان · دفع خلفي · 5 ركاب · سيدان فخم,premium,bmw_740i_2026_m_sport.jpg
car_015,بورش 911 كاريرا 2026,بورش,911 كاريرا,2026,Carrera,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 394 حصان · دفع خلفي · 4 ركاب · رياضية,premium,porsche_911_carrera_2026_carrera.jpg
car_016,لاند روفر رنج روفر سبورت 2026,لاند روفر,رنج روفر سبورت,2026,Dynamic HSE,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 400 حصان · دفع رباعي · 5 ركاب · جيب فخم,premium,land_rover_range_rover_sport_2026_dynamic_hse.jpg
car_017,بي إم دبليو X7 40i 2026,بي إم دبليو,X7 40i,2026,M Sport,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 381 حصان · دفع رباعي · 7 ركاب · جيب فخم,premium,bmw_x7_xdrive40i_2026_m_sport.jpg
car_018,لكزس LC 500 2026,لكزس,LC 500,2026,LC 500,فل كامل,سعودي · 5.0 لتر V8 · 471 حصان · دفع خلفي · 4 ركاب · رياضية,premium,lexus_lc_500_2026_lc_500.jpg
car_019,كاديلاك إسكاليد 2026,كاديلاك,إسكاليد,2026,Premium Luxury,فل كامل,أمريكي · 6.2 لتر V8 · 420 حصان · دفع رباعي · 7 ركاب · جيب فخم,premium,cadillac_escalade_2026_premium_luxury.jpg
car_020,نيسان GT-R 2025,نيسان,GT-R,2025,Premium,فل كامل,سعودي · 3.8 لتر V6 تيربو · 565 حصان · دفع رباعي · 4 ركاب · سوبر كار,premium,nissan_gt_r_2025_premium.jpg
car_021,بي إم دبليو M4 2026,بي إم دبليو,M4,2026,Competition,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 530 حصان · دفع خلفي · 4 ركاب · رياضية,premium,bmw_m4_competition_2026_competition.jpg
car_022,لكزس LX 600 2026,لكزس,LX 600,2026,VIP,فل كامل,سعودي · 3.5 لتر V6 تيربو · 409 حصان · دفع رباعي · 4 ركاب · جيب كبير,premium,lexus_lx_600_2026_vip.jpg
car_023,لوسيد إير 2026,لوسيد,إير,2026,Grand Touring,فل كامل,سعودي · كهربائية مزدوجة · 819 حصان · دفع رباعي · 5 ركاب · سيدان فخم كهربائية,premium,lucid_air_grand_touring_2026_grand_touring.jpg
