id,name,brand,model,year,trim,full_option,specs,category,image_filename
car_046,أودي A6 2026,أودي,A6,2026,S Line,فل كامل,سعودي · 2.0 لتر تيربو · 265 حصان · دفع رباعي · 5 ركاب · سيدان فخم,premium,audi_a6_45_tfsi_2026_s_line.jpg
car_047,تويوتا برادو 2026,تويوتا,برادو,2026,VXR,فل كامل,سعودي · 2.4 لتر تيربو · 278 حصان · دفع رباعي · 7 ركاب · جيب كبير,premium,toyota_land_cruiser_prado_2026_vxr.jpg
car_048,جينيسيس G80 2026,جينيسيس,G80,2026,Prestige,فل كامل,سعودي · 2.5 لتر تيربو · 304 حصان · دفع رباعي · 5 ركاب · سيدان فخم,premium,genesis_g80_2026_prestige.jpg
car_049,تويوتا سوبرا 2026,تويوتا,سوبرا,2026,3.0,فل كامل,سعودي · 3.0 لتر 6 سلندر تيربو · 382 حصان · دفع خلفي · 2 ركاب · رياضية,premium,toyota_gr_supra_2026_3_0.jpg
car_050,لكزس RX 350 2026,لكزس,RX 350,2026,Premier,فل كامل,سعودي · 2.4 لتر تيربو · 275 حصان · دفع رباعي · 5 ركاب · جيب متوسط,premium,lexus_rx_350_2026_premier.jpg
car_051,نيسان Z 2026,نيسان,Z,2026,Performance,فل كامل,سعودي · 3.0 لتر V6 تيربو · 400 حصان · دفع خلفي · 2 ركاب · رياضية,premium,nissan_z_2026_performance.jpg
car_052,فورد موستنق 2026,فورد,موستنق,2026,GT,فل كامل,أمريكي · 5.0 لتر V8 · 486 حصان · دفع خلفي · 4 ركاب · رياضية,premium,ford_mustang_2026_gt.jpg
car_053,مرسيدس C 200 2026,مرسيدس,C 200,2026,AMG Line,فل كامل,سعودي · 2.0 لتر تيربو · 204 حصان · دفع خلفي · 5 ركاب · سيدان فوق الوسط,premium,mercedes_benz_c_200_2026_amg_line.jpg
car_054,بي إم دبليو 320i 2026,بي إم دبليو,320i,2026,M Sport,فل كامل,سعودي · 2.0 لتر تيربو · 184 حصان · دفع خلفي · 5 ركاب · سيدان فوق الوسط,premium,bmw_320i_2026_m_sport.jpg
car_055,تسلا موديل Y 2026,تسلا,موديل Y,2026,Long Range,فل كامل,سعودي · كهربائية مزدوجة · 384 حصان · دفع رباعي · 5 ركاب · جيب كهربائي,premium,tesla_model_y_2026_long_range.jpg
car_056,لكزس ES 300h 2026,لكزس,ES 300h,2026,Premier,فل كامل,سعودي · 2.5 لتر هايبرد · 218 حصان · دفع أمامي · 5 ركاب · سيدان كبير,premium,lexus_es_300h_2026_premier.jpg
car_057,تسلا موديل 3 2026,تسلا,موديل 3,2026,Long Range,فل كامل,سعودي · كهربائية مزدوجة · 498 حصان · دفع رباعي · 5 ركاب · سيدان كهربائية,premium,tesla_model_3_2026_long_range.jpg
car_058,جي إم سي سييرا 2026,جي إم سي,سييرا,2026,AT4,فل كامل,أمريكي · 5.3 لتر V8 · 355 حصان · دفع رباعي · 5 ركاب · بيك أب,popular,gmc_sierra_2026_at4.jpg
car_059,شيفروليه تاهو 2026,شيفروليه,تاهو,2026,LS,ستاندر,أمريكي · 5.3 لتر V8 · 355 حصان · دفع رباعي · 8 ركاب · جيب كبير,popular,chevrolet_tahoe_2026_ls.jpg
